1425	1	1199
14250	1	1200
14259	1	1201
14269	1	1202
14270	1	1203
143	6	1204
14345	1	1210
143450	1	1211
1435	1	1212
14365	2	1213
14369	1	1215
14372	1	1216
14379	1	1217
1439	1	1218
14395	1	1219
144	2	1220
14402	1	1222
1442	1	1223
1448	1	1224
14486	1	1225
145	1	1226
1450	1	1227
14514	1	1228
1452	1	1229
14522	1	1230
146	4	1231
1469	1	1235
147	2	1236
1478	1	1238
148	3	1239
1489	1	1242
149	1	1243
149040	1	1244
149460	1	1245
149580	1	1246
15	55	1247
150	2	1302
1500	1	1304
1501	1	1305
150280	1	1306
151010	1	1307
151530	1	1308
151710	1	1309
152	1	1310
1522	1	1311
1525	1	1312
152580	1	1313
152750	1	1314
15292	1	1315
153	2	1316
15312	1	1318
153160	1	1319
15367	1	1320
15408	1	1321
1542	1	1322
154640	1	1323
155	3	1324
1551	1	1327
15553	1	1328
1557	1	1329
1564	1	1330
1565	1	1331
156point	1	1332
157	2	1333
157000	1	1335
1572	1	1336
15737800	1	1337
1575	1	1338
158	1	1339
1580	1	1340
1582	1	1341
158550	1	1342
159	2	1343
1590	1	1345
15th	1	1346
16	33	1347
160	3	1380
1600	1	1383
1607	1	1384
161	2	1385
16134	1	1387
16137	1	1388
1615	1	1389
16175	1	1390
162	1	1391
1620	1	1392
162003	1	1393
162008	1	1394
16247	1	1395
1625	1	1396
1629	1	1397
16296	1	1398
163	1	1399
16304	1	1400
163120	1	1401
1647	1	1402
164860	1	1403
165	1	1404
1652	1	1405
1654	1	1406
166	2	1407
16613	1	1409
168	1	1410
1680	1	1411
168570	1	1412
1688	1	1413
1693	1	1414
1698	1	1415
17	29	1416
170	1	1445
171	1	1446
1716	1	1447
172008	2	1448
172009	1	1450
17245	1	1451
173	1	1452
1739	1	1453
174	3	1454
175000	2	1457
175730	1	1459
1765	2	1460
177	1	1462
17771	1	1463
178	1	1464
1780	1	1465
179	2	1466
179000	1	1468
17month	2	1469
18	32	1471
180	3	1503
1802	1	1506
1807	1	1507
180to1	1	1508
181	1	1509
1811284	1	1510
1813835	1	1511
1815293	1	1512
181900	1	1513
1823	1	1514
1824	1	1515
1824692	1	1516
183	1	1517
183010	1	1518
183270	1	1519
184	2	1520
185	2	1522
185000	2	1524
185450	1	1526
185750	1	1527
186	1	1528
186870	1	1529
187	2	1530
187330	1	1532
18765	1	1533
188	2	1534
1880	1	1536
189	1	1537
1890	1	1538
18976	2	1539
18month	1	1541
18stock	1	1542
19	33	1543
190	3	1576
1900	1	1579
191	2	1580
1914990	1	1582
1918	1	1583
192	2	1584
192008	1	1586
19217	1	1587
192370	2	1588
193	1	1590
1932	1	1591
193243	1	1592
194375	1	1593
1945	1	1594
1948	1	1595
195	6	1596
1950	2	1602
1953	1	1604
1957	1	1605
195903	1	1606
196	1	1607
1960	1	1608
197	2	1609
1970	3	1611
1971	1	1614
197374	1	1615
1974	1	1616
1978	1	1617
1986	1	1618
1987	1	1619
199	1	1620
1990	2	1621
1995	1	1623
1998	1	1624
1999	1	1625
2	50	1626
20	16	1676
200	21	1692
2000	2	1713
200000	3	1715
20002002	1	1718
20002011	1	1719
20012011	1	1720
2002	2	1721
2003	1	1723
2004	2	1724
2005	1	1726
2007	6	1727
2008	21	1733
2008style	1	1754
2009	19	1755
200day	2	1774
201	1	1776
2010	25	1777
201072	1	1802
2011	31	1803
20112012	1	1834
2011â€	1	1835
2012	14	1836
2013	3	1850
2015	1	1853
2016	1	1854
20162018	1	1855
2017	1	1856
2018	1	1857
201821	1	1858
2019	1	1859
202	1	1860
2020	1	1861
202008	3	1862
202010	1	1865
2021	1	1866
2029	1	1867
2035	2	1868
204	1	1870
20482	1	1871
205	1	1872
2070	1	1873
209	1	1874
2094614	1	1875
209551	1	1876
2096	1	1877
20th	1	1878
20to1	1	1879
21	23	1880
210	2	1903
210000	1	1905
210024	1	1906
210241	1	1907
210702	1	1908
211	3	1909
2121	1	1912
2127	1	1913
213	2	1914
213578	1	1916
21388	1	1917
214	2	1918
214106	1	1920
2143	1	1921
215	1	1922
216000	3	1923
2163	1	1926
2165	1	1927
217	1	1928
2195	1	1929
22	39	1930
220	1	1969
2208	1	1970
221	1	1971
221600	1	1972
221978	1	1973
222	1	1974
2228443	1	1975
22285	1	1976
223	1	1977
2234	1	1978
22361	1	1979
224	2	1980
22421	1	1982
224650	1	1983
225	4	1984
2254	1	1988
2255	2	1989
2256	2	1991
226	2	1993
2262	1	1995
2265	2	1996
227105	1	1998
